GUBERNATORIAL 2018 IN MICHIGAN
,
Office,State,RaceDate,CensusPop,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
Governor,Michigan,20181106,"156,813",BERRIEN,"32,161","Schuette, Bill",Challenger,"27,861","Whitmer, Gretchen",Challenger,L,901,"Gelineau, Bill",Challenger,"1,113","4,300",R,1.45,53.58,46.42,,,"Schleiger, Todd (U.S. Taxpayers) 433; Kurland, Jennifer V. (Green) 491; Butkovich, Keith (Natural Law) 189; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"45,248",BRANCH,"9,381","Schuette, Bill",Challenger,"5,324","Whitmer, Gretchen",Challenger,L,198,"Gelineau, Bill",Challenger,309,"4,057",R,1.30,63.79,36.21,,,"Schleiger, Todd (U.S. Taxpayers) 121; Kurland, Jennifer V. (Green) 130; Butkovich, Keith (Natural Law) 58; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"136,146",CALHOUN,"24,711","Schuette, Bill",Challenger,"23,484","Whitmer, Gretchen",Challenger,L,828,"Gelineau, Bill",Challenger,"1,021","1,227",R,1.65,51.27,48.73,,,"Schleiger, Todd (U.S. Taxpayers) 423; Kurland, Jennifer V. (Green) 432; Butkovich, Keith (Natural Law) 166; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"52,293",CASS,"11,538","Schuette, Bill",Challenger,"7,255","Whitmer, Gretchen",Challenger,L,246,"Gelineau, Bill",Challenger,418,"4,283",R,1.26,61.40,38.60,,,"Schleiger, Todd (U.S. Taxpayers) 172; Kurland, Jennifer V. (Green) 151; Butkovich, Keith (Natural Law) 95; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"25,949",CHARLEVOIX,"7,556","Schuette, Bill",Challenger,"5,720","Whitmer, Gretchen",Challenger,L,191,"Gelineau, Bill",Challenger,210,"1,836",R,1.40,56.91,43.09,,,"Schleiger, Todd (U.S. Taxpayers) 76; Kurland, Jennifer V. (Green) 102; Butkovich, Keith (Natural Law) 32; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"26,152",CHEBOYGAN,"7,249","Schuette, Bill",Challenger,"4,838","Whitmer, Gretchen",Challenger,L,218,"Gelineau, Bill",Challenger,250,"2,411",R,1.74,59.97,40.03,,,"Schleiger, Todd (U.S. Taxpayers) 118; Kurland, Jennifer V. (Green) 80; Butkovich, Keith (Natural Law) 52; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"38,520",CHIPPEWA,"7,381","Schuette, Bill",Challenger,"6,187","Whitmer, Gretchen",Challenger,L,174,"Gelineau, Bill",Challenger,236,"1,194",R,1.24,54.40,45.60,,,"Schleiger, Todd (U.S. Taxpayers) 98; Kurland, Jennifer V. (Green) 91; Butkovich, Keith (Natural Law) 47; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"30,926",CLARE,"6,955","Schuette, Bill",Challenger,"4,424","Whitmer, Gretchen",Challenger,L,189,"Gelineau, Bill",Challenger,268,"2,531",R,1.60,61.12,38.88,,,"Schleiger, Todd (U.S. Taxpayers) 112; Kurland, Jennifer V. (Green) 91; Butkovich, Keith (Natural Law) 57; Rowley, Francis L. (Write-in) 8; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"75,382",CLINTON,"17,649","Schuette, Bill",Challenger,"18,495","Whitmer, Gretchen",Challenger,L,566,"Gelineau, Bill",Challenger,447,846,D,1.52,48.83,51.17,,,"Schleiger, Todd (U.S. Taxpayers) 201; Kurland, Jennifer V. (Green) 178; Butkovich, Keith (Natural Law) 68; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"14,074",CRAWFORD,"3,613","Schuette, Bill",Challenger,"2,367","Whitmer, Gretchen",Challenger,L,119,"Gelineau, Bill",Challenger,160,"1,246",R,1.90,60.42,39.58,,,"Schleiger, Todd (U.S. Taxpayers) 58; Kurland, Jennifer V. (Green) 60; Butkovich, Keith (Natural Law) 42; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
