PRESIDENT 2020
,
Office,State,RaceDate,CensusPop,Area,RedistrictedDate,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Minnesota,20201103,"28,567",CASS,N/A,"18,309","11,620","Trump, Donald J.",Incumbent,"6,342","Biden, Joseph R. Jr.",Challenger,I,111,"Jorgensen, Jo",Challenger,236,"5,278",R,63.47,34.64,.61,1.29,64.69,35.31,,,"Hawkins, Howie (Independent) 60; Hawkins, Howie (Independent) 60; De La Fuente, Roque (Independent) 34; La Riva, Gloria (Independent) 12; West, Kanye (Independent) 46; Pierce, Brock (Independent) 27; Pierce, Brock (Independent) 27; Pierce, Brock (Independent) 27; Pierce, Brock (Independent) 27; Pierce, Brock (Independent) 27; Pierce, Brock (Independent) 27; Kennedy, Alyson (Independent) 3"
President,Minnesota,20201103,"12,441",CHIPPEWA,N/A,"6,641","4,250","Trump, Donald J.",Incumbent,"2,226","Biden, Joseph R. Jr.",Challenger,I,58,"Jorgensen, Jo",Challenger,107,"2,024",R,64.00,33.52,.87,1.61,65.63,34.37,,,"Hawkins, Howie (Independent) 12; Hawkins, Howie (Independent) 12; De La Fuente, Roque (Independent) 8; La Riva, Gloria (Independent) 0; West, Kanye (Independent) 22; Pierce, Brock (Independent) 21; Pierce, Brock (Independent) 21; Pierce, Brock (Independent) 21; Pierce, Brock (Independent) 21; Pierce, Brock (Independent) 21; Pierce, Brock (Independent) 21; Kennedy, Alyson (Independent) 2"
President,Minnesota,20201103,"53,887",CHISAGO,N/A,"34,633","21,916","Trump, Donald J.",Incumbent,"11,806","Biden, Joseph R. Jr.",Challenger,I,464,"Jorgensen, Jo",Challenger,447,"10,110",R,63.28,34.09,1.34,1.29,64.99,35.01,,,"Hawkins, Howie (Independent) 111; Hawkins, Howie (Independent) 111; De La Fuente, Roque (Independent) 70; La Riva, Gloria (Independent) 8; West, Kanye (Independent) 53; Pierce, Brock (Independent) 68; Pierce, Brock (Independent) 68; Pierce, Brock (Independent) 68; Pierce, Brock (Independent) 68; Pierce, Brock (Independent) 68; Pierce, Brock (Independent) 68; Kennedy, Alyson (Independent) 1"
President,Minnesota,20201103,"58,999",CLAY,N/A,"32,252","15,043","Trump, Donald J.",Incumbent,"16,357","Biden, Joseph R. Jr.",Challenger,I,410,"Jorgensen, Jo",Challenger,442,"1,314",D,46.64,50.72,1.27,1.37,47.91,52.09,,,"Hawkins, Howie (Independent) 101; Hawkins, Howie (Independent) 101; De La Fuente, Roque (Independent) 76; La Riva, Gloria (Independent) 9; West, Kanye (Independent) 79; Pierce, Brock (Independent) 57; Pierce, Brock (Independent) 57; Pierce, Brock (Independent) 57; Pierce, Brock (Independent) 57; Pierce, Brock (Independent) 57; Pierce, Brock (Independent) 57; Kennedy, Alyson (Independent) 6"
President,Minnesota,20201103,"8,695",CLEARWATER,N/A,"4,715","3,372","Trump, Donald J.",Incumbent,"1,260","Biden, Joseph R. Jr.",Challenger,I,28,"Jorgensen, Jo",Challenger,55,"2,112",R,71.52,26.72,.59,1.17,72.80,27.20,,,"Hawkins, Howie (Independent) 14; Hawkins, Howie (Independent) 14; De La Fuente, Roque (Independent) 4; La Riva, Gloria (Independent) 1; West, Kanye (Independent) 12; Pierce, Brock (Independent) 8; Pierce, Brock (Independent) 8; Pierce, Brock (Independent) 8; Pierce, Brock (Independent) 8; Pierce, Brock (Independent) 8; Pierce, Brock (Independent) 8; Kennedy, Alyson (Independent) 0"
President,Minnesota,20201103,"5,176",COOK,N/A,"3,803","1,203","Trump, Donald J.",Incumbent,"2,496","Biden, Joseph R. Jr.",Challenger,I,36,"Jorgensen, Jo",Challenger,68,"1,293",D,31.63,65.63,.95,1.79,32.52,67.48,,,"Hawkins, Howie (Independent) 15; Hawkins, Howie (Independent) 15; De La Fuente, Roque (Independent) 5; La Riva, Gloria (Independent) 3; West, Kanye (Independent) 16; Pierce, Brock (Independent) 9; Pierce, Brock (Independent) 9; Pierce, Brock (Independent) 9; Pierce, Brock (Independent) 9; Pierce, Brock (Independent) 9; Pierce, Brock (Independent) 9; Kennedy, Alyson (Independent) 2"
President,Minnesota,20201103,"11,687",COTTONWOOD,N/A,"6,117","4,165","Trump, Donald J.",Incumbent,"1,834","Biden, Joseph R. Jr.",Challenger,I,55,"Jorgensen, Jo",Challenger,63,"2,331",R,68.09,29.98,.90,1.03,69.43,30.57,,,"Hawkins, Howie (Independent) 13; Hawkins, Howie (Independent) 13; De La Fuente, Roque (Independent) 9; La Riva, Gloria (Independent) 0; West, Kanye (Independent) 11; Pierce, Brock (Independent) 10; Pierce, Brock (Independent) 10; Pierce, Brock (Independent) 10; Pierce, Brock (Independent) 10; Pierce, Brock (Independent) 10; Pierce, Brock (Independent) 10; Kennedy, Alyson (Independent) 0"
President,Minnesota,20201103,"62,500",CROW WING,N/A,"40,205","25,676","Trump, Donald J.",Incumbent,"13,726","Biden, Joseph R. Jr.",Challenger,I,357,"Jorgensen, Jo",Challenger,446,"11,950",R,63.86,34.14,.89,1.11,65.16,34.84,,,"Hawkins, Howie (Independent) 92; Hawkins, Howie (Independent) 92; De La Fuente, Roque (Independent) 61; La Riva, Gloria (Independent) 9; West, Kanye (Independent) 81; Pierce, Brock (Independent) 66; Pierce, Brock (Independent) 66; Pierce, Brock (Independent) 66; Pierce, Brock (Independent) 66; Pierce, Brock (Independent) 66; Pierce, Brock (Independent) 66; Kennedy, Alyson (Independent) 5"
President,Minnesota,20201103,"398,552",DAKOTA,N/A,"262,187","109,638","Trump, Donald J.",Incumbent,"146,155","Biden, Joseph R. Jr.",Challenger,I,"2,957","Jorgensen, Jo",Challenger,"3,437","36,517",D,41.82,55.74,1.13,1.31,42.86,57.14,,,"Hawkins, Howie (Independent) 827; Hawkins, Howie (Independent) 827; De La Fuente, Roque (Independent) 535; La Riva, Gloria (Independent) 83; West, Kanye (Independent) 593; Pierce, Brock (Independent) 456; Pierce, Brock (Independent) 456; Pierce, Brock (Independent) 456; Pierce, Brock (Independent) 456; Pierce, Brock (Independent) 456; Pierce, Brock (Independent) 456; Kennedy, Alyson (Independent) 31"
President,Minnesota,20201103,"20,087",DODGE,N/A,"12,209","7,783","Trump, Donald J.",Incumbent,"4,079","Biden, Joseph R. Jr.",Challenger,I,167,"Jorgensen, Jo",Challenger,180,"3,704",R,63.75,33.41,1.37,1.47,65.61,34.39,,,"Hawkins, Howie (Independent) 39; Hawkins, Howie (Independent) 39; De La Fuente, Roque (Independent) 27; La Riva, Gloria (Independent) 3; West, Kanye (Independent) 30; Pierce, Brock (Independent) 26; Pierce, Brock (Independent) 26; Pierce, Brock (Independent) 26; Pierce, Brock (Independent) 26; Pierce, Brock (Independent) 26; Pierce, Brock (Independent) 26; Kennedy, Alyson (Independent) 3"
President,Minnesota,20201103,"36,009",DOUGLAS,N/A,"24,234","15,799","Trump, Donald J.",Incumbent,"7,868","Biden, Joseph R. Jr.",Challenger,I,238,"Jorgensen, Jo",Challenger,329,"7,931",R,65.19,32.47,.98,1.36,66.76,33.24,,,"Hawkins, Howie (Independent) 56; Hawkins, Howie (Independent) 56; De La Fuente, Roque (Independent) 40; La Riva, Gloria (Independent) 2; West, Kanye (Independent) 55; Pierce, Brock (Independent) 57; Pierce, Brock (Independent) 57; Pierce, Brock (Independent) 57; Pierce, Brock (Independent) 57; Pierce, Brock (Independent) 57; Pierce, Brock (Independent) 57; Kennedy, Alyson (Independent) 5"
President,Minnesota,20201103,"14,553",FARIBAULT,N/A,"7,940","5,191","Trump, Donald J.",Incumbent,"2,531","Biden, Joseph R. Jr.",Challenger,I,72,"Jorgensen, Jo",Challenger,146,"2,660",R,65.38,31.88,.91,1.84,67.22,32.78,,,"Hawkins, Howie (Independent) 19; Hawkins, Howie (Independent) 19; De La Fuente, Roque (Independent) 21; La Riva, Gloria (Independent) 2; West, Kanye (Independent) 31; Pierce, Brock (Independent) 24; Pierce, Brock (Independent) 24; Pierce, Brock (Independent) 24; Pierce, Brock (Independent) 24; Pierce, Brock (Independent) 24; Pierce, Brock (Independent) 24; Kennedy, Alyson (Independent) 1"
President,Minnesota,20201103,"20,866",FILLMORE,N/A,"12,142","7,301","Trump, Donald J.",Incumbent,"4,551","Biden, Joseph R. Jr.",Challenger,I,135,"Jorgensen, Jo",Challenger,155,"2,750",R,60.13,37.48,1.11,1.28,61.60,38.40,,,"Hawkins, Howie (Independent) 24; Hawkins, Howie (Independent) 24; De La Fuente, Roque (Independent) 34; La Riva, Gloria (Independent) 0; West, Kanye (Independent) 36; Pierce, Brock (Independent) 19; Pierce, Brock (Independent) 19; Pierce, Brock (Independent) 19; Pierce, Brock (Independent) 19; Pierce, Brock (Independent) 19; Pierce, Brock (Independent) 19; Kennedy, Alyson (Independent) 4"
President,Minnesota,20201103,"31,255",FREEBORN,N/A,"16,843","9,578","Trump, Donald J.",Incumbent,"6,889","Biden, Joseph R. Jr.",Challenger,I,146,"Jorgensen, Jo",Challenger,230,"2,689",R,56.87,40.90,.87,1.37,58.16,41.84,,,"Hawkins, Howie (Independent) 51; Hawkins, Howie (Independent) 51; De La Fuente, Roque (Independent) 38; La Riva, Gloria (Independent) 10; West, Kanye (Independent) 49; Pierce, Brock (Independent) 26; Pierce, Brock (Independent) 26; Pierce, Brock (Independent) 26; Pierce, Brock (Independent) 26; Pierce, Brock (Independent) 26; Pierce, Brock (Independent) 26; Kennedy, Alyson (Independent) 4"
President,Minnesota,20201103,"46,183",GOODHUE,N/A,"28,697","16,052","Trump, Donald J.",Incumbent,"11,806","Biden, Joseph R. Jr.",Challenger,I,397,"Jorgensen, Jo",Challenger,442,"4,246",R,55.94,41.14,1.38,1.54,57.62,42.38,,,"Hawkins, Howie (Independent) 102; Hawkins, Howie (Independent) 102; De La Fuente, Roque (Independent) 64; La Riva, Gloria (Independent) 8; West, Kanye (Independent) 64; Pierce, Brock (Independent) 65; Pierce, Brock (Independent) 65; Pierce, Brock (Independent) 65; Pierce, Brock (Independent) 65; Pierce, Brock (Independent) 65; Pierce, Brock (Independent) 65; Kennedy, Alyson (Independent) 9"
President,Minnesota,20201103,"6,018",GRANT,N/A,"3,670","2,269","Trump, Donald J.",Incumbent,"1,300","Biden, Joseph R. Jr.",Challenger,I,43,"Jorgensen, Jo",Challenger,58,969,R,61.83,35.42,1.17,1.58,63.58,36.42,,,"Hawkins, Howie (Independent) 8; Hawkins, Howie (Independent) 8; De La Fuente, Roque (Independent) 7; La Riva, Gloria (Independent) 1; West, Kanye (Independent) 10; Pierce, Brock (Independent) 10; Pierce, Brock (Independent) 10; Pierce, Brock (Independent) 10; Pierce, Brock (Independent) 10; Pierce, Brock (Independent) 10; Pierce, Brock (Independent) 10; Kennedy, Alyson (Independent) 2"
President,Minnesota,20201103,"1,152,425",HENNEPIN,N/A,"755,232","205,973","Trump, Donald J.",Incumbent,"532,623","Biden, Joseph R. Jr.",Challenger,I,"7,526","Jorgensen, Jo",Challenger,"9,110","326,650",D,27.27,70.52,1.00,1.21,27.89,72.11,,,"Hawkins, Howie (Independent) 2,448; Hawkins, Howie (Independent) 2,448; De La Fuente, Roque (Independent) 1,038; La Riva, Gloria (Independent) 448; West, Kanye (Independent) 1,937; Pierce, Brock (Independent) 1,025; Pierce, Brock (Independent) 1,025; Pierce, Brock (Independent) 1,025; Pierce, Brock (Independent) 1,025; Pierce, Brock (Independent) 1,025; Pierce, Brock (Independent) 1,025; Kennedy, Alyson (Independent) 164"
President,Minnesota,20201103,"19,027",HOUSTON,N/A,"11,483","6,334","Trump, Donald J.",Incumbent,"4,853","Biden, Joseph R. Jr.",Challenger,I,114,"Jorgensen, Jo",Challenger,182,"1,481",R,55.16,42.26,.99,1.58,56.62,43.38,,,"Hawkins, Howie (Independent) 29; Hawkins, Howie (Independent) 29; De La Fuente, Roque (Independent) 20; La Riva, Gloria (Independent) 4; West, Kanye (Independent) 29; Pierce, Brock (Independent) 32; Pierce, Brock (Independent) 32; Pierce, Brock (Independent) 32; Pierce, Brock (Independent) 32; Pierce, Brock (Independent) 32; Pierce, Brock (Independent) 32; Kennedy, Alyson (Independent) 4"
